,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
0,-0.2732,1,Fri Jan 12 06:17:07 +0000 2018,0.143,0.757,0.1,951699543757934592,"RT @DrugwatchTerry: ""It feels at times like a knife sticking into the wound."" Hernia patients call for #mesh ban via @BBC https://t.co/UB9s…"
1,0.0,2,Fri Jan 12 06:16:39 +0000 2018,0.0,1.0,0.0,951699423972610048,"@BBC follows #BluePlanet2 with hard-hitting #nature documentaries
https://t.co/26ZRb5gcGZ https://t.co/WMBfF2k1lG"
2,0.0,3,Fri Jan 12 06:14:56 +0000 2018,0.0,1.0,0.0,951698994635341824,"@ron_mould Your of course right, the average person watching that tit would question his sanity, who in their right… https://t.co/EGc8zxTf9N"
3,-0.3382,4,Fri Jan 12 06:14:55 +0000 2018,0.255,0.745,0.0,951698987601547264,.@BBCBreakfast advertising .@BBC programmes disguised as news again!
4,0.0,5,Fri Jan 12 06:11:48 +0000 2018,0.0,1.0,0.0,951698205124714496,@BBC News - #CES2018: Square Off #smart #chessboard moves its own pieces https://t.co/tvfXKPYj2y
5,0.0,6,Fri Jan 12 06:10:28 +0000 2018,0.0,1.0,0.0,951697868674433025,@Binarybotstech your Tweet was quoted in an article by @BBC  https://t.co/wmNVeIuE1w
6,0.0,7,Fri Jan 12 06:10:27 +0000 2018,0.0,1.0,0.0,951697864379465728,"Bu ülkede okullara zorunlu ""DÜN"" dersi verilmeli, zira çabuk unutuyoruz! #Do?rusunu?stersen @gazetesozcu #AKPistifa… https://t.co/WvMpAsM0At"
7,0.0,8,Fri Jan 12 06:10:20 +0000 2018,0.0,1.0,0.0,951697838240563200,@signe you were quoted in a story by @BBC  https://t.co/wmNVeIuE1w
8,0.0,9,Fri Jan 12 06:04:55 +0000 2018,0.0,1.0,0.0,951696475054071809,RT @JimmyTeton: https://t.co/LQHeRTHFRF  @CNNPolitics @MSNBC @jaketapper @CNN @MSNBC @BBC @NPR @CBSNews @NBCNews  @Acosta @donlemon @JoeNBC…
9,0.0,10,Fri Jan 12 06:04:39 +0000 2018,0.0,1.0,0.0,951696406062030848,"RT @BBC: It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv"
