,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
0,-0.2952,1,Fri Jan 12 06:19:27 +0000 2018,0.128,0.872,0.0,951700132231303168,@CBS So disappointed by this Star Trek series but The Orville has completely surpassed all expectations.
1,-0.3182,2,Fri Jan 12 06:19:05 +0000 2018,0.173,0.827,0.0,951700036643008514,"@thehill Boycott #ShitHotel #TrumpHotels run by #FailingDonaldTrump #ShitHolePresident @realDonaldTrump 

Let's not… https://t.co/zempeX9lsb"
2,0.1027,3,Fri Jan 12 06:17:42 +0000 2018,0.103,0.776,0.121,951699691573596160,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews you only making false claims w/o merit then try to blame as… https://t.co/FxCz0fXyaO
3,-0.6289,4,Fri Jan 12 06:17:21 +0000 2018,0.164,0.836,0.0,951699600540422144,OUR LYING MEDIA IS A S**HOLE @CNN @msnbc @ABC @CBS @NBC @nytimes they covered for one of the most corrupt admins we… https://t.co/hSN77zc7tY
4,0.1027,5,Fri Jan 12 06:17:02 +0000 2018,0.0,0.931,0.069,951699524048883712,@ABC @CBS @nbc @CR @mrctv @GOP Which Broadcaster will Apologize to POTUS First for the 1 year False Russian Collusi… https://t.co/13LDOlXAgl
5,-0.296,6,Fri Jan 12 06:15:13 +0000 2018,0.084,0.916,0.0,951699063665299456,RT @hollingsworthb: How long can you hold your breath for? NEW SEASON of #CodeBlack RETURNS May 2nd @10pm on @CBS ... Now go. No breathing…
6,0.0,7,Fri Jan 12 06:13:36 +0000 2018,0.0,1.0,0.0,951698658457616384,#WeWantEyewitnessSeason2 @netflix @amazon @PrimeVideo @heretv @Showtime @STARZ @showcasedotca @XFINITY @TBSNetwork @twxcorp @hulu @CBS
7,0.0,8,Fri Jan 12 06:13:25 +0000 2018,0.0,1.0,0.0,951698613201178625,@realdonaldtrump @Potus @SenateGOP @HouseGOP @HouseDemocrats  @SenateDems @TheDemocrats @seanhannity @FoxNews… https://t.co/MiXOefXLXS
8,0.0,9,Fri Jan 12 06:12:21 +0000 2018,0.0,1.0,0.0,951698342630735873,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
9,0.3612,10,Fri Jan 12 06:10:57 +0000 2018,0.0,0.898,0.102,951697992712642560,@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews Thank you for the education on the new age cyber weaponization of twitter by the GOP?
