,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
0,0.8402,1,Fri Jan 12 06:18:45 +0000 2018,0.0,0.655,0.345,951699952870346752,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
1,0.0,2,Fri Jan 12 06:08:43 +0000 2018,0.0,1.0,0.0,951697431149842433,".@Walmart abruptly closes 63 Sam's Club stores, lays off THOUSANDS https://t.co/LoCYUaAUJt #TalkTheTruth @POTUS… https://t.co/yYnVlKFFtD"
2,0.0,3,Fri Jan 12 06:03:48 +0000 2018,0.0,1.0,0.0,951696192701980672,RT @kodaklens: Who’s watching #TheFour on @Fox with my bros @Diddy &amp; @djkhaled ??
3,-0.788,4,Fri Jan 12 05:50:03 +0000 2018,0.367,0.633,0.0,951692729934729217,@LadyLiberty411 @fox If he was on 5th Avenue you could really drop the fucker
4,0.0,5,Fri Jan 12 05:47:17 +0000 2018,0.0,1.0,0.0,951692036184317952,@fox ?
5,0.4199,6,Fri Jan 12 05:46:15 +0000 2018,0.0,0.417,0.583,951691773746724864,@fox Thank you!
6,0.0,7,Fri Jan 12 05:45:47 +0000 2018,0.0,1.0,0.0,951691659259019264,RT @US_WAR: WHERE DOES FOX FIND THESE PEOPLE.... @FoxNews @FOX @seanhannity @IngrahamAngle @TuckerCarlson @OutnumberedFNC https://t.co/bLcz…
7,0.4404,8,Fri Jan 12 05:39:51 +0000 2018,0.0,0.873,0.127,951690163595497472,"RT @fox: A good list of upcoming conferences with Call for Speakers, via @mozTechSpeakers. 

(Unsure about Code of Conducts and inclusion l…"
8,0.6988,9,Fri Jan 12 05:35:18 +0000 2018,0.0,0.746,0.254,951689021209497600,"@fox @mozTechSpeakers Oh Cool! Thanks! 

I have been trying to find somewhere to submit a talk on variable fonts and stuff. ?"
9,-0.6908,10,Fri Jan 12 05:34:57 +0000 2018,0.439,0.561,0.0,951688931724091392,@fox Murder Doc is un American https://t.co/P5FExoHuyZ
10,0.0,11,Fri Jan 12 05:29:44 +0000 2018,0.0,1.0,0.0,951687617803902976,RT @kodaklens: Who’s watching #TheFour on @Fox with my bros @Diddy &amp; @djkhaled ??
11,-0.694,12,Fri Jan 12 05:24:28 +0000 2018,0.612,0.388,0.0,951686292772872192,@fox @TuckerCarlson RACIST https://t.co/155yOUuEgy
12,0.0,13,Fri Jan 12 05:23:00 +0000 2018,0.0,1.0,0.0,951685926023061506,RT @fox: To finalise: it can be so impactful to run a Diversity/Opportunity Program when done right. I urge organisers to prioritise this e…
13,0.0,14,Fri Jan 12 05:22:30 +0000 2018,0.0,1.0,0.0,951685797073293312,Sooooooo @CNN @fox how y'all gonna go bout this one https://t.co/8eWTsao5W0
14,0.5635,15,Fri Jan 12 05:17:25 +0000 2018,0.0,0.786,0.214,951684518255067139,"@fox Thank you! ?

Our statement on inclusivity is here: https://t.co/HunR0QhHdS

We try our best but it's a list c… https://t.co/PIue0Karag"
15,0.8402,16,Fri Jan 12 05:13:51 +0000 2018,0.0,0.655,0.345,951683622884458496,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
16,0.0,17,Fri Jan 12 05:13:39 +0000 2018,0.0,1.0,0.0,951683572166901761,"@FoxNews By the way @Fox, when your President says shithole, you can say shithole, you don't have to make it s***hole. You own this now."
17,0.4404,18,Fri Jan 12 05:10:42 +0000 2018,0.0,0.873,0.127,951682829406101504,"RT @fox: A good list of upcoming conferences with Call for Speakers, via @mozTechSpeakers. 

(Unsure about Code of Conducts and inclusion l…"
18,0.8402,19,Fri Jan 12 05:10:22 +0000 2018,0.0,0.655,0.345,951682743833735168,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
19,0.0,20,Fri Jan 12 05:07:10 +0000 2018,0.0,1.0,0.0,951681941446651905,"RT @sarahmei: @fox @aemeredith We (Ruby Central) also do a reception the night before, &amp; set up a slack channel for scholars &amp; guides. The…"
20,0.0,21,Fri Jan 12 05:06:39 +0000 2018,0.0,1.0,0.0,951681810408329216,RT @fox: To finalise: it can be so impactful to run a Diversity/Opportunity Program when done right. I urge organisers to prioritise this e…
21,0.0,22,Fri Jan 12 05:06:30 +0000 2018,0.0,1.0,0.0,951681773892665344,"RT @fox: This entire OpEd. ? ? ? 

“You’re not ‘not political’, you’re complicit.”

https://t.co/dhgbVYh8oe"
22,0.0,23,Fri Jan 12 05:06:22 +0000 2018,0.0,1.0,0.0,951681740170436608,"@fox @aemeredith We (Ruby Central) also do a reception the night before, &amp; set up a slack channel for scholars &amp; gu… https://t.co/0g1Wap8Hsv"
23,0.0,24,Fri Jan 12 05:00:57 +0000 2018,0.0,1.0,0.0,951680373494251520,RT @medinaro_: Uh me re pintaría que pongan un maratón de los simpsons ahora @fox ahre
24,0.4019,25,Fri Jan 12 04:58:56 +0000 2018,0.0,0.87,0.13,951679868382539777,RT @aemeredith: @fox Ruby Central conferences match a scholarship attendee with a guide (another attendee that volunteered) -- to help orie…
25,0.0,26,Fri Jan 12 04:56:36 +0000 2018,0.0,1.0,0.0,951679280609599488,"RT @sw: @fox @PauseFest Also, it's 2018. Diversity is about a lot more than just women. Continuing to perpetuate that diversity == women ma…"
26,0.0,27,Fri Jan 12 04:54:57 +0000 2018,0.0,1.0,0.0,951678864987635712,@fox Ruby Central conferences match a scholarship attendee with a guide (another attendee that volunteered) -- to h… https://t.co/aqeJBMcW9X
27,0.0,28,Fri Jan 12 04:50:57 +0000 2018,0.0,1.0,0.0,951677857796780032,"RT @sw: @fox @PauseFest Also, it's 2018. Diversity is about a lot more than just women. Continuing to perpetuate that diversity == women ma…"
28,0.0,29,Fri Jan 12 04:48:27 +0000 2018,0.0,1.0,0.0,951677228693143553,"@fox @PauseFest Also, it's 2018. Diversity is about a lot more than just women. Continuing to perpetuate that diver… https://t.co/Bl9vgRmEC7"
29,0.765,30,Fri Jan 12 04:45:18 +0000 2018,0.0,0.577,0.423,951676434866720768,@kodaklens @fox @Diddy @djkhaled Some Amazing talent was up there tonight
30,0.8402,31,Fri Jan 12 04:43:00 +0000 2018,0.0,0.655,0.345,951675859706040320,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
31,0.2014,32,Fri Jan 12 04:41:07 +0000 2018,0.0,0.904,0.096,951675384923238400,"RT @fox: That’s very cool, @PauseFest, but I can’t seem to find a Code of Conduct for your event. https://t.co/lKEwyTq2A5"
32,-0.6124,33,Fri Jan 12 04:34:37 +0000 2018,0.25,0.75,0.0,951673749614546944,Only on @Fox....and racist living rooms all across our land #maga #trumpsters https://t.co/ntvEJGNTxz
33,-0.6124,34,Fri Jan 12 04:30:19 +0000 2018,0.333,0.667,0.0,951672664262893569,@mitchellvii @fox news is a racist shithole place to work.
34,0.0,35,Fri Jan 12 04:23:01 +0000 2018,0.0,1.0,0.0,951670827241627648,RT @fox: Paging all wannabe allies and sponsors. https://t.co/tDfFf9SBP0
35,0.2014,36,Fri Jan 12 04:18:08 +0000 2018,0.0,0.904,0.096,951669599044423680,"RT @fox: That’s very cool, @PauseFest, but I can’t seem to find a Code of Conduct for your event. https://t.co/lKEwyTq2A5"
36,0.3612,37,Fri Jan 12 04:12:57 +0000 2018,0.0,0.865,0.135,951668296880939008,"Fergie is like Carmen Electra, Jenny McCarthy, and the mom from Brady bunch had a kid. #TheFour @fox"
37,-0.3612,38,Fri Jan 12 04:06:17 +0000 2018,0.143,0.857,0.0,951666616177233920,"@darlydar @mattmittenthal @BuzzFeedNews @CNN @ABC @CBS @MSNBC @fox &gt;thinking Russia rigged the election
&gt;no serious… https://t.co/TKXdNRcGhq"
38,0.0,39,Fri Jan 12 04:05:48 +0000 2018,0.0,1.0,0.0,951666495989284864,Heads up @fox&amp;friends @seanhannity @realdonaldtrump Perspective | Foreign spies are watching — and probably targeti… https://t.co/mq5CqUsvqg
39,-0.0754,40,Fri Jan 12 04:03:24 +0000 2018,0.138,0.739,0.123,951665891078430720,"@aaronmhamilton @fox Like I said, it's probably more difficult to understand when your culture is the dominant one."
40,-0.296,41,Fri Jan 12 03:58:08 +0000 2018,0.167,0.729,0.104,951664567305883648,@GOP @fox created @realDonaldTrump and now they own the damage he has done.  They are Trump.
41,0.0,42,Fri Jan 12 03:54:33 +0000 2018,0.0,1.0,0.0,951663666536919040,@mirhamasala @fox I don't think I have a personal claim on my culture. If somebody wants to make the same or simila… https://t.co/xdwssmAkB4
42,0.4215,43,Fri Jan 12 03:51:57 +0000 2018,0.0,0.859,0.141,951663011793485825,"@mirhamasala @fox LoL, people constantly clumsily appropriate ""my culture"". Half the English words used in Japan ar… https://t.co/sWndYcIeDV"
43,0.4767,44,Fri Jan 12 03:51:34 +0000 2018,0.0,0.617,0.383,951662914137673728,"@Comey Intelligence reports or @fox&amp;friends, sir?"
44,0.0,45,Fri Jan 12 03:50:25 +0000 2018,0.0,1.0,0.0,951662625905049600,"@lrozen must be on drugs, I watched @Fox &amp; didn’t see what she claims #fakenews https://t.co/3PTMCwn2Gi"
45,-0.4588,46,Fri Jan 12 03:49:14 +0000 2018,0.231,0.769,0.0,951662327333470208,@graceslick77 @votevets @fox The balls on this #shitholepresident .@realDonaldTrump is a coward
46,0.0,47,Fri Jan 12 03:48:21 +0000 2018,0.0,1.0,0.0,951662105316356096,@amadeus952000 @walterowensgrpa @realDonaldTrump @fox Bot. Grandpa is a bot
47,-0.4767,48,Fri Jan 12 03:45:12 +0000 2018,0.154,0.846,0.0,951661314127966208,"@JChand77 @JohnCleese You're wrong, because the 1% can soon take over a ""free"" press. That's what happened with… https://t.co/SSlDB9DR6H"
48,0.1796,49,Fri Jan 12 03:44:24 +0000 2018,0.137,0.686,0.177,951661109278380032,"@walterowensgrpa @realDonaldTrump With all due respect, u r very ignorant. Do u listen to @fox all day."
49,0.8402,50,Fri Jan 12 03:43:51 +0000 2018,0.0,0.655,0.345,951660970652381189,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
50,0.0,51,Fri Jan 12 03:41:59 +0000 2018,0.0,1.0,0.0,951660504065261568,"@aaronmhamilton @fox At first, I didn't get it either. But after reading a few articles, I can now understand how p… https://t.co/IGXYhTnNkg"
51,-0.3182,52,Fri Jan 12 03:36:36 +0000 2018,0.15,0.85,0.0,951659148613005312,@jasonsegz @FOXSports @fox @DevilsDigest @SunDevilSource I was confused about this too. They just fixed it.
52,0.8519,53,Fri Jan 12 03:34:50 +0000 2018,0.0,0.623,0.377,951658705153593344,"RT @saraislet: @fox I strongly recommend including who sees that information, how their privacy is respected and kept, and motivate why you…"
53,0.0,54,Fri Jan 12 03:34:24 +0000 2018,0.0,1.0,0.0,951658594830815234,Why does the score bug have us ranked 14 when we’re 11? #asu @FOXSports @Fox @DevilsDigest @SunDevilSource
54,0.0,55,Fri Jan 12 03:34:22 +0000 2018,0.0,1.0,0.0,951658587025162240,@USNret03 @thehill Think you meant @Fox aka NewzTrump
55,0.8402,56,Fri Jan 12 03:32:56 +0000 2018,0.0,0.655,0.345,951658224435867648,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
56,0.8519,57,Fri Jan 12 03:32:42 +0000 2018,0.0,0.623,0.377,951658166185545728,"RT @saraislet: @fox I strongly recommend including who sees that information, how their privacy is respected and kept, and motivate why you…"
57,0.0,58,Fri Jan 12 03:32:38 +0000 2018,0.0,1.0,0.0,951658148539977730,@kodaklens @fox @Diddy @djkhaled #bringsaeedback
58,0.8519,59,Fri Jan 12 03:32:14 +0000 2018,0.0,0.623,0.377,951658049529266176,"RT @saraislet: @fox I strongly recommend including who sees that information, how their privacy is respected and kept, and motivate why you…"
59,0.0,60,Fri Jan 12 03:31:48 +0000 2018,0.0,1.0,0.0,951657941161127936,"RT @fox: Take accountability, learn, never do it again, rinse, repeat."
60,0.7436,61,Fri Jan 12 03:29:30 +0000 2018,0.0,0.711,0.289,951657359943741440,"I'm actually kinda proud of @Fox News. For once, they didn't lie or obfuscate the truth. 
""Yeah he's been a racist… https://t.co/vK50wOzqSQ"
61,0.8402,62,Fri Jan 12 03:26:33 +0000 2018,0.0,0.655,0.345,951656618025926656,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
62,0.7717,63,Fri Jan 12 03:25:09 +0000 2018,0.0,0.661,0.339,951656267554045952,"@fox I strongly recommend including who sees that information, how their privacy is respected and kept, and motivat… https://t.co/gQ1h9KshCo"
63,0.5423,64,Fri Jan 12 03:24:52 +0000 2018,0.0,0.78,0.22,951656193780367361,"@aaronmhamilton @fox Apparently some people think it is (in certain context). The article that Karolina shared ""Why… https://t.co/brA3UvKlC8"
64,0.0,65,Fri Jan 12 03:24:36 +0000 2018,0.0,1.0,0.0,951656129016270849,Uh me re pintaría que pongan un maratón de los simpsons ahora @fox ahre
65,-0.1045,66,Fri Jan 12 03:20:17 +0000 2018,0.091,0.909,0.0,951655042284531712,"@fox I'm not certain LGBT women are underrepresented in tech. Discriminated against, but not underrepresented."
66,0.8402,67,Fri Jan 12 03:20:01 +0000 2018,0.0,0.655,0.345,951654973204447232,"RT @fox: I would like to weight in on how it works to run an inclusive Opportunity Program for tech conferences—the challenges, positives a…"
67,0.1531,68,Fri Jan 12 03:15:54 +0000 2018,0.0,0.926,0.074,951653938465394689,"@CamiAnnS @TomiLahren @fox Yeah, but she don't care... Probably has to blow and swallow Hannity every night to get her check"
