,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
0,0.0,1,Fri Jan 12 06:18:13 +0000 2018,0.0,1.0,0.0,951699821525479424,@NYT @NBC And all others. Shut up and get stories right. -  The New York Times https://t.co/m4YjN65swJ
1,0.0,2,Fri Jan 12 06:12:24 +0000 2018,0.0,1.0,0.0,951698356862042114,"@SkeddyRuxypin @NYT @nytimes your newspaper can't even reserve a decent twitter handle, gosh."
2,0.0,3,Fri Jan 12 06:10:03 +0000 2018,0.0,1.0,0.0,951697764039053313,@SkeddyRuxypin Hey @NYT found your next front page.
3,0.5106,4,Fri Jan 12 05:53:05 +0000 2018,0.0,0.788,0.212,951693493453205505,"@NaomiAKlein @nytimes Because America's media like @NYT is sold globally, and they are playing Nationalism &amp; Imperi… https://t.co/haUxmy8eon"
4,0.0,5,Fri Jan 12 05:33:26 +0000 2018,0.0,1.0,0.0,951688548696117248,"""Protecting Yourself From Ransomware"" by J. D. BIERSDORFER via @NYT https://t.co/cxiudQD5Az"
5,0.0,6,Fri Jan 12 05:33:18 +0000 2018,0.0,1.0,0.0,951688518379728896,"""Protecting Yourself From Ransomware"" via @NYT https://t.co/xKpmR6Tp8q #technology"
6,0.7184,7,Fri Jan 12 05:05:49 +0000 2018,0.0,0.25,0.75,951681598243704832,@brucery @NYT gj gj
7,0.0,8,Fri Jan 12 04:48:59 +0000 2018,0.0,1.0,0.0,951677362588053504,"RT @Ombudsman: Basically #Facebook is going back to what it was when it started. 
@NYT Says Facebook Overhauls News Feed to Focus on What F…"
8,0.0,9,Fri Jan 12 04:48:11 +0000 2018,0.0,1.0,0.0,951677161341181953,"""Media Organizations Grapple With the New Facebook"" via @NYT The New York Times https://t.co/55rfQ1hRn6 #businessnews #business #news"
9,0.0,10,Fri Jan 12 04:47:11 +0000 2018,0.0,1.0,0.0,951676908781129728,"@pattonoswalt Also counting down to the moment when @NYT or @AP just can't hold back anymore and runs the next ""Tru… https://t.co/rth3t7gr5E"
10,0.0,11,Fri Jan 12 04:42:10 +0000 2018,0.0,1.0,0.0,951675650259038208,Fiat Chrysler to Spend $1 Billion to Modernize Michigan Plant https://t.co/5v9cPSNDIo @NYT https://t.co/gFLJ5PHlkR
11,0.0,12,Fri Jan 12 04:40:41 +0000 2018,0.0,1.0,0.0,951675275116335104,"RT @Ombudsman: Basically #Facebook is going back to what it was when it started. 
@NYT Says Facebook Overhauls News Feed to Focus on What F…"
12,0.0,13,Fri Jan 12 04:40:27 +0000 2018,0.0,1.0,0.0,951675217675350016,"Basically #Facebook is going back to what it was when it started. 
@NYT Says Facebook Overhauls News Feed to Focus… https://t.co/i6Q61Bxi70"
13,-0.7003,14,Fri Jan 12 04:38:45 +0000 2018,0.279,0.721,0.0,951674787838935040,@danemaster @JacobAWohl You think @realDonaldTrump lied to the #FBI &amp; destroyed evidence under protection order? Yo… https://t.co/qy0U7oUxFr
